image_name,class_id,confidence_score,x_min,y_min,x_max,y_max
VAIPE_P_0_0.jpg,8,1.0,2055.4685468673706,1558.0143642425537,2447.8037481307983,2086.3450813293457
VAIPE_P_0_0.jpg,37,1.0,1441.23810338974,2340.4200553894043,1744.4261140823364,2745.6802253723145
VAIPE_P_0_1.jpg,8,1.0,1692.5175161361694,2844.4164505004883,2271.299735069275,3396.0317459106445
VAIPE_P_0_1.jpg,37,1.0,1289.6621675491333,1764.5819492340088,1677.661768913269,2130.1834144592285
VAIPE_P_0_10.jpg,56,1.0,1103.6749534606934,1851.4910144805908,1704.5922718048096,2473.022529602051
VAIPE_P_0_11.jpg,56,1.0,1208.538648605347,1925.5770092010496,1912.334810256958,2378.105564117432
VAIPE_P_0_12.jpg,8,1.0,1221.0775337219238,2181.9491386413574,1798.5452299118042,2626.5184593200684
VAIPE_P_0_12.jpg,37,1.0,1250.3347220420835,1120.0236053466797,1741.8500604629517,1481.9619026184082
VAIPE_P_0_13.jpg,8,1.0,2089.2180576324463,2199.280242919922,2359.0778789520264,2660.355628967285
VAIPE_P_0_13.jpg,37,1.0,1139.1549010276794,2203.877918243408,1473.5227675437927,2410.1304359436035
VAIPE_P_0_14.jpg,56,1.0,1203.8595929145813,2000.9635276794436,1780.9647274017334,2353.666820526123
VAIPE_P_0_15.jpg,37,1.0,1618.3471069335938,2306.666038513184,1958.4550380706787,2746.860946655273
VAIPE_P_0_15.jpg,8,1.0,674.0458695888519,2023.4236679077148,1074.128562927246,2595.498390197754
VAIPE_P_0_16.jpg,56,1.0,1136.589121341705,1679.546464920044,1639.6631755828855,2255.4415283203125
VAIPE_P_0_17.jpg,8,1.0,796.4759631156921,1807.4520092010496,1418.7174611091614,2116.927276611328
VAIPE_P_0_17.jpg,37,1.0,1506.516873836517,2453.088935852051,1970.6042346954343,2781.46932220459
VAIPE_P_0_18.jpg,56,1.0,1017.2044830322266,1578.415151596069,1488.907982826233,2203.7815475463867
VAIPE_P_0_2.jpg,8,1.0,754.8392708301544,1888.6630668640137,1317.2300148010254,2315.9841957092285
VAIPE_P_0_2.jpg,37,1.0,1320.3486943244934,2350.5132637023926,1649.4580192565918,2770.1377143859863
VAIPE_P_0_3.jpg,56,1.0,1249.572738647461,1865.9980487823489,1939.025047302246,2374.0579948425293
VAIPE_P_0_4.jpg,56,1.0,1405.0284361839294,1725.9627742767334,1902.070069313049,2309.011619567871
VAIPE_P_0_5.jpg,56,1.0,1398.078570842743,1945.0732097625728,2098.668273925781,2492.6559562683105
VAIPE_P_0_6.jpg,56,1.0,688.8116297721863,2444.22114944458,1352.2831435203552,3011.6748847961426
VAIPE_P_0_7.jpg,8,1.0,1452.1999397277832,1886.286724090576,1818.473957061768,2505.64701461792
VAIPE_P_0_7.jpg,37,1.0,1127.8280696868896,2145.4763145446777,1491.6190395355225,2582.358089447021
